sza_deg,mu0_cos_sza,total_direct_horiz,total_diffuse_down_horiz,total_diffuse_up_horiz,total_global_horiz,dni_reconstructed,ghi_from_identity,ghi_check_error,ecc_factor,total_global_horiz_corr,total_diffuse_down_horiz_corr,dni_reconstructed_corr
53.5,0.5948227867513414,446794.07265025,45562.21868805,4.641842174677524e-13,492356.2913383,751138.1248362077,492356.2913383,0.0,0.9956105146843716,490195.10062741325,45362.22399817136,747841.0150672304
54.0,0.5877852522924731,440346.8591117,45407.9317901,-6.311687868715754e-12,485754.7909018,749162.8233172988,485754.7909017999,1.1641532182693479e-10,0.9956105146843716,483622.57738014037,45208.6143402943,745874.3841053328
54.5,0.5807029557109398,433866.0838538,45250.2176254,1.4578715861536985e-11,479116.3014792,747139.4446798172,479116.3014792,0.0,0.9956105146843716,477013.22750937886,45051.59245960432,743859.8870586683
55.0,0.573576436351046,427352.5696615001,45088.9853358,3.541380055202579e-12,472441.5549973,745066.4681767843,472441.5549973,-5.820766091346741e-11,0.9956105146843716,470367.7797291467,44891.067896771914,741796.0098555553
55.5,0.5664062369248328,420807.1371097,44924.12710305,1.8299283743523304e-12,465731.26421275,742942.2730130439,465731.26421275,0.0,0.9956105146843716,463686.94366745907,44726.933306813735,739681.1388152936
56.0,0.5591929034707468,414230.6306966,44755.5265001,1.946659852571768e-13,458986.1571967,740765.1780371168,458986.1571967,0.0,0.9956105146843716,456971.44419960835,44559.072773734595,737513.6001657939
56.5,0.5519369853120581,407623.96361258,44583.0914217,5.6101173999420025e-12,452207.05503428006,738533.5182459544,452207.05503428,5.820766091346741e-11,0.9956105146843716,450222.0988065835,44387.39459657913,735291.7362125143
57.0,0.5446390350150271,400987.99991016,44406.6947825,1.1576405526749975e-11,445394.69469266,736245.4288629832,445394.69469266,5.820766091346741e-11,0.9956105146843716,443439.6412206478,44211.77224783663,733013.6903642906
57.5,0.5372996083468239,394323.6324634,44226.211658650005,3.971388551260351e-12,438549.84412205,733898.9761720918,438549.84412205,0.0,0.9956105146843716,436624.8360211051,44032.081352008485,730677.5373930297
58.0,0.5299192642332049,387631.75262686505,44041.5233015,-6.831581225279004e-12,431673.275928365,731492.0947208243,431673.275928365,0.0,0.9956105146843716,429778.45242252824,43848.20368169015,728281.220912549
