DayOfYear,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
21,0.0,0.0,0.0,0.0,0.0,0.0,0.833860844746232,62.69598798751831,182.7566047668457,266.295806312561,337.83423309326173,368.88427963256834,361.4922748565674,308.2949148178101,217.3672540664673,103.19518165588379,12.075416654348373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.9812892965972424,66.45142421722412,198.93385639190674,319.6150638580322,381.7584735870361,394.70224113464354,377.15773620605466,309.5327465057373,214.98234691619874,112.23416414260865,13.470256423950195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,1.2014451712369918,68.46871671676635,172.4021308898926,278.39783706665037,332.80823173522947,346.86319732666016,309.9650800704956,284.30254192352294,204.25059633255006,101.28422598838806,14.11329784989357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,1.0793747037649155,58.93643445968628,166.53713760375976,274.80553884506224,332.4020215988159,318.22161769866943,267.0615547180176,227.68394107818602,177.53265771865844,112.35566663742065,16.290248608589174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,1.270288735628128,64.45067451000213,172.51305484771729,261.5408027648926,331.256282043457,370.3522201538086,373.85391120910646,285.9344650268555,223.7094630241394,128.00875434875488,20.876857793331148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,1.4062776520848275,61.75600419044495,154.1184736251831,246.0687057495117,318.92250671386716,349.25126419067385,321.131244468689,253.55280799865722,186.0090340614319,104.94573049545288,17.849179804325104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,1.7825682990252971,72.9689284324646,181.30753889083863,278.7674008369446,352.63284063339233,381.1701448440552,338.23383378982544,302.0207327842712,250.78929691314698,130.97673492431642,24.05973654985428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,2.1280108481645583,72.59543204307556,193.95444316864013,330.28839073181155,415.28625411987304,425.66133308410645,438.2395366668701,368.3846394538879,278.73001794815065,148.8871211051941,26.910778069496153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,2.328929004073143,65.53671045303345,159.75799961090087,260.21977138519287,359.4804880142212,402.5859909057617,389.60754985809325,322.7894718170166,231.79786319732665,113.33723344802857,19.15274804830551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,3.229456740617752,92.87368230819702,229.94050397872925,360.12455921173097,463.7810855865479,481.9301475524902,478.0214084625244,397.4931859970093,291.4972713470459,154.71920623779297,30.059356117248534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
