DayOfYear,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
42,0.0,0.0,0.0,0.0,0.0,0.0,55.90833883993328,312.06158701553943,429.3316333853362,443.94518741253034,461.3273120370228,495.0293324780461,462.85977755989313,443.7476592107276,395.4918245228786,342.3322829410434,159.4465041147545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,38.26969898566604,275.34751438763925,431.58329281062004,531.1159570021555,554.5462521910667,517.506785094738,552.9525057714229,480.6815391198194,465.5068812478677,363.77046522544913,156.31305299292436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,48.62214261961053,228.89943001852953,290.7886061526835,367.736419723133,369.86681672250126,333.9696835717652,398.74662075295345,399.006676597349,396.1918225722737,333.75860956646574,162.03267061867126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,46.52409929436399,194.61590713865888,302.1833525510359,388.49622141760466,395.87088635817634,411.29614508484667,411.56119074374436,407.4047701509262,394.16551506288357,356.86052763783397,207.02528640922756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,64.77227042697196,277.3615184670092,421.11728028472436,525.4689512986827,546.1555316753511,556.4753874285962,527.1677449158526,553.2502225907199,487.0582138120059,372.0443788367205,163.05488197584637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,61.0698905375293,282.5039808317553,350.1837513419108,420.6255780439202,425.1292371524032,404.67766599959,442.60676363515375,396.7620384768743,390.05856687077323,308.672019075368,169.6099396048912,0.16166233350522816,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,69.98296930077194,355.45865215063094,446.3362326106364,553.0345946270025,622.5175973520912,619.5207619826891,613.0789822905082,577.0636909589172,561.6495397567771,473.1123874054756,259.0006793382956,0.8952085749993328,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,95.04216623972363,414.71415925696493,563.591707444191,660.8117400169373,663.4628250122071,695.3450660518022,650.3549706864171,617.5355714511127,501.738924749312,440.31487949731957,247.5890640254598,2.0858488485217093,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,76.5548519444495,336.22528058319625,448.6936494469643,506.21274936970093,582.7830517516937,583.7779572419822,601.3378585711122,488.59030399285257,425.53970216214657,372.22190944254396,251.99426352381707,2.9742276191711428,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,95.6287230578288,397.6552638073452,454.6676570887321,489.84548690505324,530.5604482471942,475.760755921714,438.4922927258825,392.39187871962787,387.41368365608906,324.7570026277419,204.2258675351739,3.1689102502074094,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,69.48730014693047,278.1178735146299,379.35131869316103,437.4440939549357,451.8231870728894,473.833146043669,478.28240320900807,501.4746768340759,471.65410118107286,352.62305574000914,217.09009847098577,4.675478567778191,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,86.59588538293875,276.86857789610514,351.8427906798323,425.1359673424099,428.8032919640003,399.97982780626336,274.54753562299203,247.49679071679128,276.3069711680917,221.23060316342927,144.69353336053237,3.854920921577727,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,76.09140556520146,246.6501200137464,375.64825458974786,436.5941333446619,483.88904928622117,445.4760770542256,441.5361790208146,431.8407535356906,381.7377200269606,332.7140401396916,189.92528250040488,5.339690117096689,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,98.00575105910539,328.0172432816613,416.4724952433156,435.2832389088144,463.40168635491284,465.95786655761765,477.6963922135066,455.5340157630155,419.49779157945886,328.62139344159516,169.08078572041103,4.0778957201167945,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,109.7053497914414,369.44173668551184,467.23629182916477,514.8300580459147,571.8263727101573,531.7230197424302,528.5464249519166,474.3671497289091,399.95188297946004,342.96237160762394,208.31374624969902,8.164976664399775,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,126.9879998878343,385.53062682878226,525.3148630710907,520.6947296238155,419.19161164385275,429.1008289744597,420.4807681508405,326.59646784441867,308.3423811624708,257.57538082298595,160.8365506091621,6.610562385490283,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,98.45059056662801,245.27455472147517,289.9876994489462,391.6067645379339,419.66156777490335,381.98625024474046,295.38250269998287,304.8625184766403,328.2644598589867,269.12129133808173,164.42589914277195,8.661792285547467,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,110.06844746537044,328.2863912334738,406.33888348099606,474.4863453669775,506.3851615640568,482.3704666540565,464.09541312541376,431.9769060781096,381.4853594773634,338.9739998687432,201.1827016720814,12.202916647314895,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,108.04319023440694,296.16615581420416,411.5686859556936,467.1507650150751,512.4836909760212,497.50098883756436,434.8527045524264,380.04034153552186,400.468438751136,325.427841710642,211.81620876938103,17.857244149205542,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,167.92180025251923,474.8347308307886,572.0802989109186,666.6805703506591,704.8872480075049,678.6703985054046,631.1607016974128,548.4499016582965,522.2677368592471,506.66008487939837,338.0575003169477,26.44040945209563,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,198.2167747423733,471.2334743858304,534.9273510036452,600.6414282592189,628.5349789791624,598.7762420242536,623.1699921045802,550.1300818207862,488.17803992688516,407.7234413743019,289.21144995690986,30.663179588524677,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,125.97290084928757,280.7099386471135,363.7739546867297,411.87220927431116,427.1590256057517,469.5853128695312,434.01673185318305,381.5948141381708,330.2672295019499,242.67077108988343,174.50032857612536,22.188694070532996,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,94.3737279871173,242.98467541377067,392.30971054837573,453.39624126804995,454.9576020613313,459.61476063182664,384.4891724079862,310.3420206780327,348.43948762067595,301.8751732988865,216.23463524766265,28.975892599894586,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,92.46275640813363,238.0871834411054,289.29835309963175,366.2529371538149,378.67796903813144,347.12659427189647,288.72717145109743,287.535187846989,349.2584635218471,258.8473770849497,206.96488139089197,19.15687226315531,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,57.268419937244616,182.889007682951,324.5925089785451,324.6053569329511,376.16434056225035,477.554465660102,402.8322932829682,341.3831027305816,312.41411257935687,317.5000483391341,265.4405152397256,35.953420383034604,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,146.71910291191998,259.3992924417795,377.4641515654772,393.42398846775757,427.0576155502895,436.2333284645341,419.0143436037004,368.2719705335796,369.89845186667515,305.7004744570667,205.6327501129359,29.20793366971493,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,154.0805631788234,292.6427754782147,339.6676659510187,396.69001351149956,430.03015287985465,375.76399052998386,357.2118953497267,285.9040918618639,309.1681150042236,276.254024004488,226.5120556963142,32.84434052328465,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.17015315066091716,163.95382020846017,382.6553002920118,562.2361167766154,537.0280187964609,454.6950361520052,442.09897393733263,476.74026534557345,394.9555996641517,425.4929643582553,398.67356991171835,279.9523536503315,49.632942522660905,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.8924078765734718,214.61098836137862,394.53000092139325,494.9805724038976,501.5580607413038,562.0273428095039,553.1467355228554,534.2968550957739,486.4085189193487,455.179471282661,431.614849781524,268.7636741161351,42.24928979793756,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,2.794283231389818,228.53407122839707,339.6578116782013,411.74691656331015,412.37638626841664,403.3063209186884,342.8470047845043,418.3635511022614,444.50375395726985,428.45326950752496,404.1579920324766,309.27025259919736,54.52381864102627,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,4.064003903330651,228.94886530782097,456.9743052992038,540.6232644371688,624.070022588456,684.5954293716932,699.0901680450886,625.508999754861,583.6833420053124,555.6017445749603,481.18319565207514,348.4962890000712,55.71469244609456,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,4.205021692096489,199.88067619988487,399.72615283813053,463.07154658787294,509.5259847886715,556.0479028382339,610.5786096096039,595.3117865212017,557.103672577194,538.4924834655645,449.32572273258285,334.776191598217,57.22095983056123,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,6.836351737821242,229.0441738763594,449.7621947838459,578.8628553599119,593.4080153201998,641.08039894104,657.4602509737015,691.4661248087883,552.9173847436905,554.3803854942322,489.7071989085299,328.086332321167,64.50079593034461,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,8.721333542803995,227.64935101743032,415.78647943036714,516.4134636329887,569.4737496171322,647.7779952526092,609.2862978577614,606.8393995165825,586.1444599170238,513.0113103859737,402.44144587321205,281.67215266730784,63.62543545608114,0.0,0.0,0.0,0.0,0.0,0.0
